,Date,Open,High,Low,Close,Shares Traded,Turnover (Rs. Cr)
26,07-Feb-2012,5412.95,5413.35,5322.95,5335.15,181194561,6797.14
27,08-Feb-2012,5343.8,5396.9,5325.2,5368.15,236135416,9359.98
28,09-Feb-2012,5343.05,5423.4,5338.9,5412.35,255306965,8143.96
29,10-Feb-2012,5399.8,5427.75,5341.05,5381.6,225352093,7396.34
30,13-Feb-2012,5382.1,5421.05,5351.4,5390.2,181561910,6738.0
31,14-Feb-2012,5380.8,5428.05,5377.95,5416.05,201409996,6693.43
32,15-Feb-2012,5460.6,5542.1,5460.6,5531.95,314366096,9958.28
33,16-Feb-2012,5513.75,5531.4,5483.75,5521.95,270060477,9053.45
34,17-Feb-2012,5574.2,5606.7,5545.2,5564.3,329307516,11512.01
35,21-Feb-2012,5561.9,5621.5,5561.75,5607.15,231132126,8169.38
36,22-Feb-2012,5609.75,5629.95,5491.35,5505.35,263013427,9694.44
37,23-Feb-2012,5490.05,5537.4,5460.8,5483.3,307246519,9987.65
38,24-Feb-2012,5479.15,5521.4,5405.9,5429.3,364660634,17356.76
39,27-Feb-2012,5448.1,5449.8,5268.15,5281.2,235318961,7706.81
40,28-Feb-2012,5310.5,5391.1,5306.45,5375.5,208133889,7815.9
41,29-Feb-2012,5424.95,5458.8,5352.25,5385.2,226022232,8454.41
42,01-Mar-2012,5366.0,5372.45,5297.5,5339.75,196867905,6847.63
43,02-Mar-2012,5369.45,5392.55,5315.05,5359.35,185021526,6768.52
44,03-Mar-2012,5360.05,5369.6,5353.4,5359.4,16770991,429.35
45,05-Mar-2012,5342.55,5344.5,5265.7,5280.35,196421155,6036.63
46,06-Mar-2012,5266.0,5382.05,5206.4,5222.4,290396014,9319.01
47,07-Mar-2012,5207.05,5243.85,5171.45,5220.45,230726017,7173.14
48,09-Mar-2012,5294.1,5342.3,5291.6,5333.55,203005845,7080.66
49,12-Mar-2012,5420.1,5421.9,5327.3,5359.55,176668237,6484.38
50,13-Mar-2012,5391.05,5438.65,5390.8,5429.5,179965296,5907.14
51,14-Mar-2012,5490.55,5499.4,5437.8,5463.9,181714070,7345.67
52,15-Mar-2012,5462.5,5462.5,5362.3,5380.5,160257651,5961.15
53,16-Mar-2012,5380.35,5445.65,5305.0,5317.9,267521147,9432.07
54,19-Mar-2012,5337.35,5340.7,5238.55,5257.05,179877454,6275.89
55,20-Mar-2012,5257.15,5297.35,5233.25,5274.85,181345285,6158.0
56,21-Mar-2012,5267.2,5372.35,5256.0,5364.95,199787985,6807.02
57,22-Mar-2012,5361.1,5385.95,5205.65,5228.45,205581062,7359.89
58,23-Mar-2012,5255.65,5312.0,5220.0,5278.2,172738574,6371.46
59,26-Mar-2012,5274.35,5274.95,5174.9,5184.25,169785835,5582.28
60,27-Mar-2012,5242.95,5277.95,5184.65,5243.15,208775421,7445.92
61,28-Mar-2012,5231.7,5236.55,5169.6,5194.75,145803597,5411.63
62,29-Mar-2012,5145.95,5194.3,5135.95,5178.85,242557889,8632.05
63,30-Mar-2012,5206.6,5307.1,5203.65,5295.55,164790056,6082.93
64,02-Apr-2012,5296.35,5331.55,5278.8,5317.9,134538287,4583.68
